,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"9,701","10,435","11,690","12,085","9,842","9,716","11,782","14,929","16,727","18,087"
Expenses +,"7,823","8,473","9,597","9,931","8,358","8,555","10,319","13,120","14,632","15,778"
Operating Profit,"1,878","1,963","2,093","2,154","1,483","1,162","1,462","1,810","2,095","2,310"
OPM %,19%,19%,18%,18%,15%,12%,12%,12%,13%,13%
Other Income +,623,912,418,600,-105,-241,391,470,"1,566",815
Interest,13,27,3,13,10,14,29,12,51,17
Depreciation,386,456,467,402,383,341,324,386,430,376
Profit before tax,"2,102","2,391","2,041","2,339",985,565,"1,500","1,882","3,181","2,732"
Tax %,27%,27%,33%,32%,34%,15%,19%,24%,22%,26%
Net Profit +,"1,534","1,740","1,371","1,598",650,482,"1,218","1,426","2,491","2,015"
EPS in Rs,488.42,570.17,449.24,541.91,220.22,163.43,413.07,483.33,844.69,683.27
Dividend Payout %,17%,29%,22%,19%,48%,70%,51%,99%,44%,75%
