,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"10,173","11,345","13,790","14,394","15,156","16,362","17,132","19,160","21,763","22,753","25,774","27,548"
Expenses +,"8,026","9,183","11,310","11,898","12,329","13,265","13,926","14,907","17,211","17,726","19,483","20,420"
Operating Profit,"2,147","2,163","2,480","2,496","2,826","3,097","3,206","4,252","4,553","5,027","6,291","7,128"
OPM %,21%,19%,18%,17%,19%,19%,19%,22%,21%,22%,24%,26%
Other Income +,251,164,208,208,280,477,344,266,99,293,552,862
Interest,146,168,207,159,114,168,197,161,106,110,90,62
Depreciation,373,505,754,"1,323","1,323","1,326","1,175","1,068","1,052","1,172","1,051","1,107"
Profit before tax,"1,880","1,654","1,727","1,222","1,669","2,079","2,178","3,290","3,493","4,038","5,702","6,821"
Tax %,25%,24%,19%,15%,15%,27%,29%,27%,27%,30%,27%,22%
Net Profit +,"1,404","1,229","1,383","1,035","1,417","1,492","1,500","2,389","2,547","2,833","4,154","5,269"
EPS in Rs,17.29,14.71,16.93,12.51,17.52,18.96,19.18,29.82,31.19,34.71,51.05,65.28
Dividend Payout %,12%,14%,12%,16%,17%,16%,21%,17%,16%,24%,25%,25%
