,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"9,006","6,106","5,093","6,174","7,754","10,300","9,866","16,456","16,759","15,690","16,487"
Expenses +,"7,894","5,367","4,331","5,261","6,758","8,652","7,761","14,354","14,338","13,787","14,607"
Operating Profit,"1,112",739,762,913,997,"1,649","2,105","2,103","2,422","1,904","1,880"
OPM %,12%,12%,15%,15%,13%,16%,21%,13%,14%,12%,11%
Other Income +,101,12,18,29,95,82,70,79,101,161,213
Interest,334,250,218,206,208,205,134,82,67,54,32
Depreciation,238,245,257,272,288,318,344,385,428,474,511
Profit before tax,641,256,305,464,596,"1,208","1,698","1,715","2,028","1,537","1,549"
Tax %,31%,26%,28%,37%,30%,1%,25%,25%,25%,26%,26%
Net Profit +,447,190,221,292,418,"1,199","1,270","1,287","1,528","1,144","1,148"
EPS in Rs,0.99,2.76,3.20,4.25,6.08,17.41,18.45,18.70,22.20,16.61,16.68
Dividend Payout %,15%,18%,19%,19%,16%,7%,11%,11%,30%,34%,35%
