,Mar 2011,Dec 2011,Mar 2012,Mar 2013,Dec 2013,Mar 2014,Dec 2014,Mar 2015,Dec 2015,Mar 2016,Dec 2024,Mar 2025
Sales +,190,138,195,150,92,138,102,178,104,184,343,592
Expenses +,151,119,175,129,87,114,94,150,96,152,293,482
Operating Profit,39,19,20,21,5,24,8,28,7,31,49,110
OPM %,20%,14%,10%,14%,5%,17%,8%,16%,7%,17%,14%,19%
Other Income +,1,1,1,2,1,3,1,5,5,3,6,2
Interest,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,5,3,4,2,3,4,5,5,5,6,7,7
Profit before tax,35,17,18,21,2,24,4,28,7,29,49,104
Tax %,33%,31%,30%,37%,23%,45%,42%,29%,28%,34%,25%,23%
Net Profit +,23,12,13,16,2,14,3,21,5,21,37,80
EPS in Rs,3.66,1.80,1.97,2.41,0.29,2.21,0.39,3.32,0.80,3.32,5.62,12.38
Raw PDF,,,,,,,,,,,,
