,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,477","2,586","2,331","2,403","2,326","2,497","2,877","2,525","2,688","3,562","4,420","5,611"
Expenses +,"2,111","2,219","2,006","2,149","2,065","2,094","2,284","1,984","2,054","2,759","3,527","4,434"
Operating Profit,367,367,324,254,260,403,592,541,633,804,892,"1,177"
OPM %,15%,14%,14%,11%,11%,16%,21%,21%,24%,23%,20%,21%
Other Income +,12,32,37,47,73,79,107,119,114,252,375,349
Interest,29,19,10,4,2,1,30,31,34,29,26,12
Depreciation,91,108,107,98,98,99,155,141,145,154,146,124
Profit before tax,259,271,244,199,233,383,514,487,568,873,"1,095","1,390"
Tax %,32%,33%,30%,31%,32%,32%,25%,23%,23%,21%,19%,23%
Net Profit +,175,183,170,137,159,260,385,376,438,690,884,"1,072"
EPS in Rs,33.76,35.26,32.63,26.39,30.60,50.07,74.02,72.41,84.25,132.80,169.84,206.18
Dividend Payout %,24%,23%,25%,30%,26%,16%,32%,33%,33%,33%,33%,29%
