,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,"Mar 2023
            
              15m",Mar 2024,Mar 2025
Sales +,"11,062","11,646","11,706","10,990","13,285","14,802","15,658","13,786","16,152","22,210","19,959","21,762"
Expenses +,"9,416","10,116","10,123","9,532","11,370","12,754","13,245","11,431","13,154","20,285","16,897","18,701"
Operating Profit,"1,646","1,529","1,583","1,458","1,915","2,048","2,413","2,355","2,998","1,925","3,062","3,061"
OPM %,15%,13%,14%,13%,14%,14%,15%,17%,19%,9%,15%,14%
Other Income +,265,241,-90,115,137,153,332,50,164,196,735,"1,175"
Interest,114,83,65,79,99,88,86,57,55,77,155,108
Depreciation,584,568,663,609,644,603,606,639,601,841,885,"1,001"
Profit before tax,"1,214","1,120",766,885,"1,310","1,510","2,053","1,709","2,506","1,203","2,757","3,127"
Tax %,11%,-3%,25%,26%,29%,-1%,33%,16%,26%,26%,15%,23%
Net Profit +,"1,095","1,162",587,658,925,"1,521","1,378","1,430","1,863",885,"2,335","2,402"
EPS in Rs,58.31,61.88,31.30,35.06,49.23,80.97,73.35,76.16,99.21,47.13,124.34,127.92
Dividend Payout %,52%,55%,54%,49%,53%,17%,19%,18%,59%,20%,6%,6%
