,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,536","2,419","2,911","2,779","2,503","2,667","2,869","3,002","2,783","2,761","2,844","3,433","3,031"
Expenses +,"2,104","2,047","2,474","2,407","2,268","1,955","2,401","2,516","2,449","2,049","2,344","2,868","2,572"
Operating Profit,432,372,437,372,235,712,468,486,334,712,500,565,459
OPM %,17%,15%,15%,13%,9%,27%,16%,16%,12%,26%,18%,16%,15%
Other Income +,-97,-12,389,-127,0,5,71,52,80,35,54,7,175
Interest,16,22,21,24,36,4,27,16,29,22,25,20,22
Depreciation,77,83,66,65,69,74,66,63,73,72,69,72,70
Profit before tax,241,254,739,155,130,639,446,459,312,653,460,480,542
Tax %,26%,-3%,26%,-38%,21%,25%,24%,24%,23%,26%,26%,30%,22%
Net Profit +,179,261,548,214,103,477,339,350,241,485,341,335,421
EPS in Rs,2.50,3.66,7.61,2.95,1.41,6.56,4.66,4.81,3.31,6.67,4.69,4.61,5.79
Raw PDF,,,,,,,,,,,,,
