,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"4,628","5,108","5,078","4,832","5,818","7,964","7,425","6,388","9,317","14,336","16,153","18,581"
Expenses +,"4,321","4,843","4,698","4,398","5,393","7,472","6,930","5,948","8,739","13,069","14,585","17,034"
Operating Profit,307,264,380,434,426,491,495,440,578,"1,267","1,568","1,547"
OPM %,7%,5%,7%,9%,7%,6%,7%,7%,6%,9%,10%,8%
Other Income +,4,1,10,15,11,15,15,19,33,36,86,99
Interest,155,162,175,131,158,223,254,157,171,344,432,409
Depreciation,27,31,38,45,56,67,87,93,98,104,116,132
Profit before tax,129,72,178,273,223,216,169,208,342,855,"1,106","1,106"
Tax %,30%,32%,32%,36%,35%,37%,20%,23%,25%,25%,25%,26%
Net Profit +,90,49,122,177,145,136,135,160,257,638,825,821
EPS in Rs,23.37,12.86,31.61,46.14,37.82,35.55,35.32,41.94,67.09,166.64,205.41,204.46
Dividend Payout %,22%,27%,21%,22%,25%,27%,27%,23%,22%,24%,25%,25%
