,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,836","2,187","2,413","2,550","2,711","2,956","2,808","2,781","3,705","4,382","4,578","4,635"
Expenses +,"1,550","1,831","1,950","2,049","2,253","2,501","2,391","2,266","3,093","3,789","3,880","4,009"
Operating Profit,287,355,463,500,457,455,417,515,612,593,698,626
OPM %,16%,16%,19%,20%,17%,15%,15%,19%,17%,14%,15%,14%
Other Income +,1,0,5,11,11,8,23,15,26,25,46,-5
Interest,41,29,34,34,24,16,20,11,13,22,21,20
Depreciation,47,56,73,81,89,89,108,107,115,133,148,165
Profit before tax,199,270,361,396,355,358,312,413,510,462,576,436
Tax %,34%,32%,35%,36%,36%,36%,19%,25%,25%,25%,25%,31%
Net Profit +,131,185,236,254,229,229,254,309,383,346,432,300
EPS in Rs,8.22,11.05,14.56,15.91,14.78,14.25,16.06,19.36,23.68,21.64,26.50,18.48
Dividend Payout %,21%,18%,17%,19%,20%,21%,19%,52%,46%,42%,45%,49%
