,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,324,304,311,314,297,311,335,341,366,387,424,445,429
Expenses +,128,123,129,131,139,141,143,147,161,166,174,171,185
Operating Profit,196,182,182,183,158,170,192,194,205,220,250,274,244
OPM %,61%,60%,59%,58%,53%,55%,57%,57%,56%,57%,59%,62%,57%
Other Income +,24,-31,77,49,32,78,56,80,74,95,96,38,72
Interest,1,1,1,1,1,1,2,1,2,1,1,2,1
Depreciation,9,9,8,9,8,7,9,9,10,9,10,11,10
Profit before tax,209,141,249,223,181,240,237,264,268,305,335,300,305
Tax %,24%,27%,23%,25%,25%,23%,25%,21%,22%,23%,28%,25%,25%
Net Profit +,159,103,192,166,136,185,178,209,208,236,242,224,228
EPS in Rs,5.50,3.57,6.66,5.77,4.71,6.41,6.18,7.27,7.23,8.18,8.41,7.78,7.91
Raw PDF,,,,,,,,,,,,,
