,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,669","1,891","2,312","2,878","3,034","3,366","3,566","4,188","5,711","8,351","9,822","11,939"
Expenses +,"1,255","1,501","1,921","2,413","2,565","2,810","3,073","3,505","4,753","6,831","8,146","9,881"
Operating Profit,415,390,392,465,469,556,493,683,958,"1,519","1,676","2,058"
OPM %,25%,21%,17%,16%,15%,17%,14%,16%,17%,18%,17%,17%
Other Income +,31,94,77,84,119,88,132,108,144,41,128,138
Interest,0,0,0,0,0,0,6,6,12,47,47,67
Depreciation,103,94,99,149,158,157,166,176,166,272,309,307
Profit before tax,343,390,370,401,429,486,452,609,924,"1,241","1,448","1,822"
Tax %,27%,25%,25%,25%,25%,28%,25%,26%,25%,26%,24%,23%
Net Profit +,249,291,277,301,323,352,340,451,690,921,"1,093","1,400"
EPS in Rs,15.58,18.16,17.33,18.84,20.19,21.98,22.26,29.48,45.15,60.24,70.98,90.54
Dividend Payout %,19%,41%,23%,24%,25%,25%,27%,34%,34%,41%,37%,39%
