,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,391","1,213","1,172","1,268","1,506","1,283","1,363","1,370","1,625","1,384","1,370","1,397","1,681"
Expenses +,"1,176","1,042","1,028","1,081","1,199","1,082","1,143","1,165","1,334","1,169","1,160","1,178","1,380"
Operating Profit,215,171,144,186,307,202,220,205,291,214,210,219,302
OPM %,15%,14%,12%,15%,20%,16%,16%,15%,18%,16%,15%,16%,18%
Other Income +,16,14,14,-2,12,12,13,6,10,12,9,12,9
Interest,5,13,14,9,3,6,8,8,8,8,10,14,10
Depreciation,33,43,45,46,44,46,49,50,52,56,60,63,65
Profit before tax,193,128,99,130,272,162,177,154,241,163,149,154,236
Tax %,25%,25%,24%,27%,24%,26%,26%,26%,25%,27%,27%,27%,25%
Net Profit +,144,96,75,95,206,119,132,113,181,120,109,113,178
EPS in Rs,5.28,3.32,2.57,3.46,7.66,4.46,4.88,4.23,6.76,4.48,4.09,4.25,6.67
Raw PDF,,,,,,,,,,,,,
