,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,738,785,829,883,963,"1,006","1,120","1,387","1,478","1,700","1,759","2,035"
Expenses +,618,653,689,713,796,860,947,"1,118","1,214","1,421","1,431","1,619"
Operating Profit,121,132,140,170,166,146,174,269,264,279,327,417
OPM %,16%,17%,17%,19%,17%,15%,15%,19%,18%,16%,19%,20%
Other Income +,5,6,13,18,16,21,25,34,34,45,35,36
Interest,4,3,1,1,1,1,2,3,3,3,3,5
Depreciation,5,6,6,15,14,12,16,15,16,18,41,55
Profit before tax,116,129,145,172,167,154,181,285,278,303,319,392
Tax %,20%,18%,26%,29%,24%,27%,22%,26%,25%,23%,25%,24%
Net Profit +,93,106,107,122,126,113,141,211,209,234,239,297
EPS in Rs,18.62,21.21,21.45,24.83,25.71,23.66,29.71,45.21,44.85,51.23,52.46,65.15
Dividend Payout %,21%,6%,30%,2%,21%,3%,40%,4%,31%,4%,27%,3%
