,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,019","2,553","2,872","2,131","3,227","4,738","3,839","4,423","4,727","4,743","4,465","4,065"
Expenses +,"1,864","2,272","2,600","1,944","2,944","4,320","3,346","3,873","4,077","4,125","3,884","3,616"
Operating Profit,156,281,273,187,283,418,493,550,650,619,582,449
OPM %,8%,11%,10%,9%,9%,9%,13%,12%,14%,13%,13%,11%
Other Income +,385,110,-29,21,24,40,22,31,37,47,102,58
Interest,44,44,62,62,64,92,115,175,166,152,147,185
Depreciation,20,34,26,22,23,27,42,69,78,83,82,106
Profit before tax,476,312,156,124,220,339,358,337,442,431,454,217
Tax %,1%,0%,0%,0%,22%,32%,34%,27%,26%,26%,26%,20%
Net Profit +,475,324,156,124,172,232,237,246,326,318,338,173
EPS in Rs,3.83,2.61,1.26,0.99,1.35,1.73,1.77,1.86,2.27,2.18,2.29,1.23
Dividend Payout %,0%,0%,0%,0%,4%,6%,0%,8%,8%,9%,9%,8%
