,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,057","1,410","1,678","1,895","2,073","2,507","2,578","3,176","4,394","5,158","5,641","5,832"
Expenses +,902,"1,242","1,470","1,633","1,759","2,126","2,136","2,539","3,640","4,349","4,717","4,886"
Operating Profit,155,168,208,261,314,382,442,638,754,810,925,946
OPM %,15%,12%,12%,14%,15%,15%,17%,20%,17%,16%,16%,16%
Other Income +,2,3,-4,8,13,15,11,25,35,37,36,41
Interest,31,25,30,18,22,32,39,13,13,40,29,41
Depreciation,22,36,42,50,57,81,108,116,127,178,198,243
Profit before tax,105,110,132,201,248,283,306,533,648,628,734,702
Tax %,24%,29%,22%,28%,29%,30%,18%,23%,24%,25%,26%,26%
Net Profit +,79,78,102,145,176,197,250,408,490,472,546,519
EPS in Rs,1.26,2.89,3.79,5.44,6.58,7.36,9.25,15.10,18.06,17.00,20.33,19.50
Dividend Payout %,5%,6%,5%,5%,4%,4%,6%,10%,12%,21%,18%,19%
