,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"2,737","3,332","3,715","4,324","3,889","4,218","4,340","5,592","4,698","5,498","5,226","6,986","5,906"
Expenses +,"2,427","2,906","3,212","3,721","3,341","3,609","3,771","4,830","4,115","4,867","4,506","5,960","5,048"
Operating Profit,310,427,503,603,549,609,570,762,583,632,720,"1,025",858
OPM %,11%,13%,14%,14%,14%,14%,13%,14%,12%,11%,14%,15%,15%
Other Income +,44,-2,40,52,64,35,71,54,58,76,25,48,80
Interest,8,14,9,28,25,27,32,24,41,45,50,33,51
Depreciation,51,52,52,53,57,60,62,66,67,72,79,80,86
Profit before tax,295,358,481,573,530,557,546,725,533,590,617,961,801
Tax %,24%,24%,25%,25%,24%,23%,24%,24%,25%,25%,25%,24%,25%
Net Profit +,223,271,361,429,403,430,417,553,402,445,464,734,600
EPS in Rs,14.69,17.91,23.89,28.38,26.67,28.37,27.49,36.34,26.34,29.24,30.42,48.31,39.34
Raw PDF,,,,,,,,,,,,,
