,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"5,266","5,183","5,720","6,033","6,404","7,124","7,658","7,556","7,934","9,499","12,481","15,413"
Expenses +,"5,000","4,773","5,376","5,484","5,742","6,564","7,040","6,975","7,362","9,045","12,145","14,423"
Operating Profit,266,411,344,549,663,560,618,580,572,454,336,990
OPM %,5%,8%,6%,9%,10%,8%,8%,8%,7%,5%,3%,6%
Other Income +,121,154,261,212,178,174,179,189,188,-77,253,324
Interest,23,23,16,16,12,33,21,26,26,30,56,62
Depreciation,25,28,26,24,24,24,32,34,37,40,48,62
Profit before tax,340,514,563,720,805,677,744,709,697,307,486,"1,191"
Tax %,28%,25%,30%,28%,28%,24%,30%,25%,27%,56%,49%,30%
Net Profit +,246,388,393,520,578,514,521,529,506,136,248,834
EPS in Rs,7.42,11.62,11.70,15.64,17.30,15.35,15.63,15.87,15.23,4.08,7.62,25.43
Dividend Payout %,25%,19%,22%,22%,23%,26%,26%,32%,36%,104%,72%,28%
