,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"9,447","10,762","10,952","11,241","10,931","11,941","12,192","12,381","11,983","12,653","13,291","13,675","12,959"
Expenses +,"7,106","7,877","7,996","8,237","8,129","8,609","9,013","8,904","8,948","9,045","9,352","9,666","9,243"
Operating Profit,"2,340","2,884","2,957","3,004","2,802","3,332","3,179","3,477","3,035","3,608","3,939","4,009","3,716"
OPM %,25%,27%,27%,27%,26%,28%,26%,28%,25%,29%,30%,29%,29%
Other Income +,"-3,822",2,85,174,202,-118,294,180,504,533,354,149,251
Interest,37,14,19,46,93,81,49,35,74,62,69,52,49
Depreciation,556,588,610,660,672,651,633,622,650,655,626,631,664
Profit before tax,"-2,076","2,285","2,412","2,471","2,240","2,481","2,791","3,000","2,816","3,424","3,598","3,476","3,254"
Tax %,7%,8%,6%,11%,10%,19%,14%,14%,5%,16%,16%,16%,34%
Net Profit +,"-2,227","2,093","2,256","2,181","1,983","2,006","2,385","2,561","2,659","2,861","3,037","2,913","2,154"
EPS in Rs,-9.49,8.59,9.43,9.03,8.27,8.43,9.90,10.52,11.06,11.82,12.67,12.10,8.96
Raw PDF,,,,,,,,,,,,,
