,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"38,086","41,778","39,134","46,962","42,213","44,584","41,940","46,269","42,943","39,684","41,378","44,819","43,147"
Expenses +,"33,794","40,082","34,643","39,031","35,201","36,722","34,776","40,243","37,445","34,309","35,799","38,684","35,671"
Operating Profit,"4,292","1,696","4,491","7,931","7,012","7,862","7,164","6,026","5,498","5,375","5,579","6,135","7,476"
OPM %,11%,4%,11%,17%,17%,18%,17%,13%,13%,14%,13%,14%,17%
Other Income +,189,779,188,465,331,826,194,242,164,-189,50,186,350
Interest,"1,422","1,523","1,819","2,138","1,963","2,084","1,996","2,062","2,073","2,130","2,115","2,094","2,217"
Depreciation,"1,778","1,805","1,882","2,009","1,900","2,019","2,059","2,194","2,209","2,267","2,336","2,497","2,537"
Profit before tax,"1,281",-853,978,"4,249","3,480","4,585","3,303","2,012","1,380",789,"1,178","1,730","3,072"
Tax %,34%,7%,52%,12%,30%,40%,26%,34%,37%,49%,39%,13%,28%
Net Profit +,839,-915,474,"3,741","2,428","2,773","2,450","1,322",867,404,719,"1,501","2,209"
EPS in Rs,3.47,-3.51,2.03,15.16,9.67,11.29,9.88,5.31,3.46,1.80,2.93,6.15,8.93
Raw PDF,,,,,,,,,,,,,
