,Mar 2008,Mar 2009,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,894,856,"2,640","2,572","2,719","2,918","2,662","2,421","3,149","3,802","3,962","4,091"
Expenses +,808,"1,024","2,380","2,244","2,420","2,576","2,291","2,078","2,714","3,276","3,328","3,449"
Operating Profit,86,-168,260,329,299,342,370,343,434,526,633,642
OPM %,10%,-20%,10%,13%,11%,12%,14%,14%,14%,14%,16%,16%
Other Income +,31,571,110,65,240,43,41,21,23,26,35,27
Interest,3,3,2,3,4,4,9,10,14,14,12,10
Depreciation,23,21,54,54,58,65,79,76,76,82,82,89
Profit before tax,90,379,314,337,478,316,323,278,367,456,573,570
Tax %,34%,22%,32%,27%,16%,33%,27%,25%,21%,26%,26%,25%
Net Profit +,60,295,214,247,400,211,237,208,290,335,427,430
EPS in Rs,15.55,77.22,45.91,52.94,85.75,46.33,52.13,45.59,63.70,73.58,93.68,94.31
Dividend Payout %,51%,21%,153%,42%,26%,52%,27%,110%,118%,88%,80%,106%
