,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,094","1,201","1,389","2,457","2,842","2,984","4,400","6,448","10,697","12,192","17,691","38,860"
Expenses +,"1,067","1,169","1,340","2,365","2,729","2,848","4,172","6,156","10,313","11,673","16,986","37,353"
Operating Profit,26,32,49,92,113,136,228,292,384,519,705,"1,508"
OPM %,2%,3%,4%,4%,4%,5%,5%,5%,4%,4%,4%,4%
Other Income +,8,2,23,1,4,6,5,1,4,4,32,498
Interest,11,10,13,16,13,26,39,33,49,64,81,154
Depreciation,5,7,8,11,15,22,37,44,84,115,162,281
Profit before tax,18,17,51,66,88,94,157,217,255,345,494,"1,570"
Tax %,19%,24%,16%,28%,31%,32%,23%,26%,25%,26%,24%,21%
Net Profit +,14,13,43,48,61,63,120,160,190,255,375,"1,233"
EPS in Rs,8.72,7.65,27.46,8.66,10.76,11.19,20.81,27.28,32.05,42.90,61.47,181.87
Dividend Payout %,2%,3%,9%,14%,4%,4%,4%,4%,6%,7%,8%,4%
