,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"29,234","31,972","32,186","33,162","35,545","39,310","39,783","47,028","52,446","60,580","61,896","63,121"
Expenses +,"24,475","26,560","26,276","26,834","28,046","30,430","29,922","35,402","39,589","46,433","47,237","48,278"
Operating Profit,"4,759","5,412","5,910","6,328","7,499","8,880","9,861","11,626","12,857","14,147","14,659","14,843"
OPM %,16%,17%,18%,19%,21%,23%,25%,25%,25%,23%,24%,24%
Other Income +,792,"1,247",486,606,353,322,424,170,219,448,817,"1,322"
Interest,41,18,17,35,26,33,118,117,106,114,334,395
Depreciation,296,322,353,432,520,565,"1,002","1,074","1,091","1,137","1,216","1,355"
Profit before tax,"5,215","6,320","6,026","6,467","7,306","8,604","9,165","10,605","11,879","13,344","13,926","14,415"
Tax %,24%,31%,31%,31%,28%,30%,26%,25%,25%,24%,26%,26%
Net Profit +,"3,956","4,376","4,151","4,490","5,227","6,060","6,756","7,999","8,892","10,143","10,282","10,671"
EPS in Rs,18.24,20.17,19.18,20.68,24.09,27.97,31.17,34.03,37.79,43.07,43.74,45.32
Dividend Payout %,71%,74%,83%,82%,83%,78%,80%,119%,90%,91%,96%,117%
