,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,"4,686","6,439","8,584","11,898","15,033","20,005","24,870","24,143","30,976","42,840","50,789","59,358","61,649"
Expenses +,"4,345","5,983","7,919","10,929","13,680","18,371","22,742","22,398","28,474","39,201","46,683","54,871","57,083"
Operating Profit,341,456,664,969,"1,353","1,633","2,128","1,745","2,502","3,639","4,106","4,487","4,565"
OPM %,7%,7%,8%,8%,9%,8%,9%,7%,8%,8%,8%,8%,7%
Other Income +,16,20,17,28,88,48,60,194,114,128,145,124,102
Interest,56,72,91,122,60,47,69,42,54,67,58,69,83
Depreciation,57,82,98,128,159,212,374,414,498,639,731,870,908
Profit before tax,245,323,492,747,"1,222","1,422","1,745","1,483","2,064","3,060","3,461","3,673","3,676"
Tax %,34%,34%,35%,36%,34%,37%,25%,26%,28%,22%,27%,26%,
Net Profit +,161,212,320,479,806,902,"1,301","1,099","1,492","2,378","2,536","2,707","2,707"
EPS in Rs,2.95,3.77,5.70,7.67,12.92,14.46,20.09,16.97,23.04,36.69,38.97,41.61,41.61
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
