,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"8,051","8,468","7,594","6,130","8,116","10,073","9,440","10,457","13,938","16,911","18,590","21,778"
Expenses +,"7,274","7,713","6,798","5,315","7,083","8,885","8,374","8,868","12,163","15,290","16,709","19,603"
Operating Profit,777,755,796,815,"1,033","1,189","1,067","1,589","1,775","1,621","1,881","2,175"
OPM %,10%,9%,10%,13%,13%,12%,11%,15%,13%,10%,10%,10%
Other Income +,35,48,949,42,97,124,107,187,159,178,249,288
Interest,102,96,91,13,25,16,51,90,67,55,84,72
Depreciation,116,139,134,121,140,149,218,249,261,296,338,400
Profit before tax,594,569,"1,520",723,965,"1,147",904,"1,438","1,607","1,447","1,707","1,990"
Tax %,25%,32%,14%,32%,31%,31%,19%,27%,26%,26%,26%,26%
Net Profit +,446,385,"1,300",494,661,788,735,"1,044","1,196","1,072","1,271","1,470"
EPS in Rs,7.15,6.17,20.82,7.91,10.60,12.59,11.75,16.68,19.10,17.11,20.28,23.48
Dividend Payout %,42%,49%,29%,44%,4%,36%,34%,39%,39%,44%,44%,43%
