,Jun 2014,Jun 2015,"Mar 2016
            
              9m",Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,"32,144","36,701","31,136","47,568","50,569","60,427","70,676","75,379","85,651","101,456","109,913","117,055","119,347"
Expenses +,"24,108","28,215","24,482","37,178","39,323","46,501","53,360","55,331","65,122","78,828","85,715","91,551","93,601"
Operating Profit,"8,035","8,486","6,654","10,390","11,246","13,926","17,316","20,048","20,529","22,628","24,198","25,504","25,746"
OPM %,25%,23%,21%,22%,22%,23%,24%,27%,24%,22%,22%,22%,22%
Other Income +,677,"1,126",871,"1,069","1,230",943,589,927,"1,067","1,358","1,495","2,485","1,838"
Interest,114,91,74,89,69,174,505,511,319,353,553,644,662
Depreciation,681,404,410,828,"1,383","2,073","3,420","4,611","4,326","4,145","4,173","4,084","4,179"
Profit before tax,"7,917","9,117","7,041","10,542","11,024","12,622","13,980","15,853","16,951","19,488","20,967","23,261","22,743"
Tax %,18%,20%,20%,18%,21%,20%,21%,30%,20%,24%,25%,25%,
Net Profit +,"6,528","7,342","5,602","8,606","8,722","10,120","11,057","11,169","13,523","14,845","15,710","17,399","16,984"
EPS in Rs,23.25,26.02,19.86,30.16,31.32,37.31,40.75,41.07,49.74,54.73,57.86,64.08,62.56
Dividend Payout %,11%,58%,40%,40%,19%,11%,25%,24%,84%,88%,90%,94%,
