,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,TTM
Sales +,731,802,819,826,946,"1,093","1,294","1,208","1,497","1,822","2,247","2,533","2,584"
Expenses +,629,701,713,720,838,965,"1,142","1,039","1,287","1,575","1,954","2,196","2,240"
Operating Profit,102,101,106,106,108,128,152,169,210,247,294,338,344
OPM %,14%,13%,13%,13%,11%,12%,12%,14%,14%,14%,13%,13%,13%
Other Income +,12,23,24,29,35,24,40,33,40,50,42,50,54
Interest,3,2,2,3,4,4,5,3,5,6,5,3,3
Depreciation,27,28,28,29,31,40,46,42,44,45,50,54,55
Profit before tax,86,94,100,103,108,109,140,157,201,245,280,331,340
Tax %,33%,34%,36%,33%,34%,34%,28%,40%,26%,25%,26%,25%,
Net Profit +,67,68,69,69,71,72,101,94,149,183,209,247,254
EPS in Rs,3.84,3.93,3.95,3.94,4.07,4.12,5.79,5.39,8.59,10.50,12.00,14.22,14.62
Dividend Payout %,29%,28%,28%,28%,29%,29%,28%,32%,29%,29%,29%,28%,
