,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"10,240","10,410","10,615","10,621","10,532","10,656","10,716","10,673","10,607","10,508","10,932","11,117","11,014"
Expenses +,"5,590","6,082","6,517","6,440","6,322","6,499","6,435","6,324","6,274","6,304","6,383","6,405","6,354"
Operating Profit,"4,649","4,328","4,097","4,181","4,210","4,156","4,282","4,349","4,333","4,205","4,550","4,712","4,660"
OPM %,45%,42%,39%,39%,40%,39%,40%,41%,41%,40%,42%,42%,42%
Other Income +,19,84,96,38,71,21,34,780,32,256,300,250,217
Interest,"5,316","5,901","6,129","6,323","5,002","6,398","6,569","6,518","6,280","5,519","6,614","5,940","6,471"
Depreciation,"5,913","5,804","5,656","5,886","5,704","5,616","5,667","5,598","5,751","5,369","5,404","5,629","5,571"
Profit before tax,"-6,561","-7,293","-7,591","-7,990","-6,424","-7,837","-7,920","-6,987","-7,666","-6,427","-7,168","-6,607","-7,166"
Tax %,0%,0%,0%,0%,-0%,0%,10%,-0%,0%,0%,0%,0%,-0%
Net Profit +,"-6,563","-7,297","-7,596","-7,990","-6,419","-7,840","-8,738","-6,986","-7,675","-6,432","-7,176","-6,609","-7,166"
EPS in Rs,-2.04,-2.27,-2.36,-2.49,-1.32,-1.61,-1.79,-1.44,-1.53,-0.95,-1.03,-0.95,-1.00
Raw PDF,,,,,,,,,,,,,
