,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,590,717,695,675,724,823,768,747,787,912,998,901,910
Expenses +,543,672,636,622,691,763,698,664,712,806,901,805,826
Operating Profit,47,45,59,54,34,60,70,83,75,105,96,96,84
OPM %,8%,6%,8%,8%,5%,7%,9%,11%,10%,12%,10%,11%,9%
Other Income +,4,4,6,7,6,7,7,6,8,7,10,11,26
Interest,0,0,0,0,0,0,0,1,1,1,1,1,1
Depreciation,13,15,16,16,15,16,17,18,18,18,19,20,18
Profit before tax,38,34,49,44,25,51,59,70,64,93,86,86,90
Tax %,-7%,27%,19%,19%,10%,31%,26%,41%,27%,30%,27%,26%,25%
Net Profit +,40,25,39,35,23,35,44,41,47,65,63,64,68
EPS in Rs,6.80,4.19,6.63,5.95,3.79,5.88,7.33,6.95,7.87,10.93,10.51,10.54,11.27
Raw PDF,,,,,,,,,,,,,
