,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,590","1,692","2,139","1,944","2,243","2,812","3,125","3,720"
Expenses +,"1,476","1,556","1,996","1,700","2,031","2,619","2,835","3,338"
Operating Profit,114,135,143,244,212,193,290,382
OPM %,7%,8%,7%,13%,9%,7%,9%,10%
Other Income +,6,7,5,6,13,22,26,53
Interest,11,12,17,13,7,2,3,4
Depreciation,28,37,49,51,52,61,70,75
Profit before tax,80,93,82,186,166,152,244,356
Tax %,29%,33%,39%,32%,20%,19%,32%,27%
Net Profit +,57,63,50,126,133,122,167,260
EPS in Rs,173.72,11.27,8.96,21.60,22.32,20.55,28.03,43.09
Dividend Payout %,0%,0%,58%,0%,0%,0%,0%,12%
