,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"8,838","9,164","9,994","11,011","11,982","12,869","13,717","14,495","15,156","15,837","16,427","16,633","16,772"
Interest,"2,904","3,004","3,375","3,802","4,230","4,834","5,536","5,985","6,212","6,805","7,139","7,171","7,160"
Expenses +,"8,555","4,879","9,313","9,345","10,548","10,303","10,136","12,484","14,920","12,263","13,094","10,595","13,664"
Financing Profit,"-2,620","1,281","-2,694","-2,136","-2,796","-2,269","-1,955","-3,975","-5,976","-3,231","-3,806","-1,133","-4,051"
Financing Margin %,-30%,14%,-27%,-19%,-23%,-18%,-14%,-27%,-39%,-20%,-23%,-7%,-24%
Other Income +,"7,838","2,405","7,441","7,360","8,785","7,855","7,843","9,588","12,751","13,042","10,453","7,313","10,402"
Depreciation,131,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"5,087","3,686","4,747","5,224","5,989","5,586","5,888","5,614","6,775","9,811","6,647","6,180","6,351"
Tax %,24%,26%,25%,24%,24%,26%,25%,25%,23%,25%,25%,25%,23%
Net Profit +,"3,892","2,755","3,608","3,995","4,566","4,150","4,461","4,265","5,337","7,448","5,044","4,701","4,933"
EPS in Rs,19.61,13.88,18.17,20.12,22.99,20.88,22.45,21.46,26.85,37.47,25.37,23.64,24.81
Gross NPA %,2.37%,2.27%,2.09%,1.91%,1.76%,1.75%,1.69%,1.68%,1.38%,1.39%,1.48%,1.51%,1.45%
Net NPA %,0.71%,0.69%,0.60%,0.48%,0.41%,0.43%,0.39%,0.36%,0.36%,0.38%,0.45%,0.44%,0.36%
Raw PDF,,,,,,,,,,,,,
