,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Revenue +,"42,555","50,666","63,162","73,271","85,288","105,161","122,189","128,552","135,936","170,754","283,649","336,367"
Interest,"23,445","27,288","34,070","38,042","42,381","53,713","62,137","59,248","58,584","77,780","154,139","183,894"
Expenses +,"13,508","16,164","20,055","23,856","29,532","34,856","45,459","52,457","56,557","63,042","174,196","186,974"
Financing Profit,"5,602","7,214","9,037","11,374","13,374","16,592","14,593","16,848","20,795","29,932","-44,685","-34,501"
Financing Margin %,13%,14%,14%,16%,16%,16%,12%,13%,15%,18%,-16%,-10%
Other Income +,"8,298","9,546","11,212","12,905","16,057","18,947","24,879","27,333","31,759","33,912","124,346","134,548"
Depreciation,689,680,738,886,967,"1,221","1,277","1,385","1,681","2,345","3,092","3,805"
Profit before tax,"13,211","16,079","19,511","23,393","28,464","34,318","38,195","42,796","50,873","61,498","76,569","96,242"
Tax %,34%,33%,34%,35%,35%,35%,29%,26%,25%,25%,15%,24%
Net Profit +,"8,768","10,703","12,821","15,317","18,561","22,446","27,296","31,857","38,151","46,149","65,446","73,440"
EPS in Rs,18.22,21.32,25.32,29.81,35.66,41.00,49.70,57.74,68.62,82.44,84.33,92.51
Dividend Payout %,19%,19%,19%,18%,18%,18%,5%,11%,23%,23%,23%,24%
