,Sep 2011,Sep 2014,Sep 2015,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,Sep 2021,Sep 2022,Sep 2023,Sep 2024,TTM
Sales +,"11,955","10,678","10,563","10,837","11,065","12,795","13,084","9,946","13,198","16,138","19,554","22,240","17,507"
Expenses +,"10,784","10,559","9,565","9,815","10,008","11,468","11,594","8,944","11,746","14,278","17,067","19,136","15,402"
Operating Profit,"1,171",119,998,"1,021","1,056","1,327","1,490","1,003","1,452","1,860","2,487","3,104","2,105"
OPM %,10%,1%,9%,9%,10%,10%,11%,10%,11%,12%,13%,14%,12%
Other Income +,299,985,943,"3,156",818,280,398,315,321,487,496,925,"1,442"
Interest,26,31,30,11,8,8,12,30,24,36,23,60,29
Depreciation,154,229,224,228,198,198,199,252,297,317,321,330,285
Profit before tax,"1,290",844,"1,688","3,938","1,669","1,402","1,678","1,036","1,452","1,993","2,640","3,639","3,232"
Tax %,33%,28%,30%,26%,32%,36%,34%,26%,25%,23%,26%,25%,
Net Profit +,868,603,"1,174","2,914","1,137",901,"1,099",769,"1,089","1,543","1,962","2,718","2,606"
EPS in Rs,,16.94,32.98,81.82,31.92,25.31,30.87,21.58,30.57,43.33,55.07,76.29,73.14
Dividend Payout %,24%,35%,30%,41%,22%,28%,23%,32%,26%,23%,18%,16%,
