,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,"2,692","3,127","1,527","1,491","1,839","5,116","5,357","4,705","5,880","6,223","9,297","6,888","4,215"
Expenses +,"2,803","3,294","1,474","1,647","1,876","5,049","4,786","3,933","4,799","6,086","9,955","7,224","4,393"
Operating Profit,-111,-167,53,-156,-37,68,571,772,"1,081",137,-658,-337,-178
OPM %,-4%,-5%,3%,-10%,-2%,1%,11%,16%,18%,2%,-7%,-5%,-4%
Other Income +,332,-735,98,55,110,42,-17,44,74,183,801,-734,-684
Interest,122,113,67,80,96,198,236,157,97,209,322,477,379
Depreciation,83,75,58,80,89,142,175,147,120,128,210,223,188
Profit before tax,16,"-1,090",26,-261,-111,-231,143,512,939,-16,-389,"-1,771","-1,428"
Tax %,150%,4%,63%,4%,56%,-23%,61%,-7%,11%,-1%,-17%,0%,
Net Profit +,-4,"-1,117",96,-271,-173,-178,56,547,838,-16,-325,"-1,777","-1,432"
EPS in Rs,-0.35,-10.12,0.92,-2.23,-1.47,-2.89,-2.26,0.31,1.98,-0.80,-1.97,-10.94,-9.47
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
