,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,719,824,987,"1,015","1,240","1,449","1,379","1,221","1,572","1,848","2,029","2,423"
Expenses +,631,721,859,897,"1,099","1,292","1,223","1,087","1,378","1,599","1,760","2,100"
Operating Profit,88,103,127,118,141,157,157,134,194,249,269,322
OPM %,12%,12%,13%,12%,11%,11%,11%,11%,12%,13%,13%,13%
Other Income +,1,1,1,-9,8,1,1,0,3,11,16,20
Interest,14,12,16,23,23,22,18,12,9,7,3,2
Depreciation,22,31,33,39,44,49,53,57,59,63,59,64
Profit before tax,53,61,79,46,82,87,87,65,129,189,223,276
Tax %,29%,30%,28%,28%,36%,35%,9%,28%,26%,26%,26%,26%
Net Profit +,37,42,57,33,53,56,75,47,94,140,166,205
EPS in Rs,15.60,17.77,23.99,12.57,19.98,21.16,28.35,17.75,35.80,53.17,62.96,77.86
Dividend Payout %,19%,20%,17%,32%,23%,28%,23%,45%,28%,28%,32%,39%
