,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,487,525,446,764,798,844,"1,103",900,"1,039","1,188","1,156","1,576"
Expenses +,364,393,309,565,579,711,889,759,877,"1,048",985,"1,264"
Operating Profit,123,132,136,199,220,133,213,140,162,140,171,312
OPM %,25%,25%,31%,26%,28%,16%,19%,16%,16%,12%,15%,20%
Other Income +,16,34,33,43,54,15,51,24,40,50,48,1
Interest,0,1,0,1,2,8,13,12,10,12,12,11
Depreciation,4,4,4,7,7,10,21,21,24,26,26,22
Profit before tax,135,161,165,235,265,130,230,131,168,152,181,280
Tax %,22%,28%,28%,29%,27%,30%,21%,18%,28%,24%,18%,24%
Net Profit +,106,116,118,166,193,92,182,107,121,116,148,212
EPS in Rs,15.10,16.56,16.91,23.77,27.52,13.19,25.94,15.34,17.20,16.64,21.48,30.82
Dividend Payout %,43%,42%,74%,19%,16%,34%,89%,33%,52%,30%,61%,42%
