,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"3,393","3,776","3,767","3,643","3,778","3,898","4,306","4,197","4,490","4,578","4,925","4,812","5,150"
Expenses +,"3,042","3,379","3,256","3,174","3,288","3,431","3,744","3,728","4,039","4,050","4,434","4,321","4,813"
Operating Profit,351,397,511,469,489,467,562,469,451,528,490,491,337
OPM %,10%,11%,14%,13%,13%,12%,13%,11%,10%,12%,10%,10%,7%
Other Income +,37,29,7,95,188,42,59,609,77,65,71,77,150
Interest,20,9,12,11,11,11,13,13,15,16,16,15,16
Depreciation,76,85,92,95,124,108,112,119,115,110,119,127,137
Profit before tax,292,332,414,460,542,390,496,946,398,467,426,426,334
Tax %,23%,26%,33%,29%,12%,27%,30%,12%,31%,32%,30%,34%,53%
Net Profit +,225,247,277,324,477,284,346,828,274,317,299,280,158
EPS in Rs,9.27,10.08,11.08,12.19,16.14,11.14,13.77,27.58,9.88,11.73,10.69,10.01,2.40
Raw PDF,,,,,,,,,,,,,
