,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,608","1,729","1,691","1,884","2,508","3,937","4,563","5,406","7,028"
Expenses +,"1,467","1,616","1,535","1,595","2,101","2,986","3,322","3,913","5,180"
Operating Profit,141,113,156,289,407,951,"1,241","1,493","1,849"
OPM %,9%,7%,9%,15%,16%,24%,27%,28%,26%
Other Income +,59,65,56,72,-122,110,139,177,82
Interest,100,99,101,153,179,101,84,60,165
Depreciation,96,94,103,120,174,221,232,245,359
Profit before tax,5,-15,8,89,-69,739,"1,064","1,365","1,406"
Tax %,-236%,65%,102%,-7%,67%,18%,-4%,23%,24%
Net Profit +,16,-25,-0,95,-138,605,"1,104","1,058","1,076"
EPS in Rs,0.29,-0.47,-0.06,1.77,-1.42,6.24,11.37,10.88,11.07
Dividend Payout %,0%,0%,0%,0%,0%,0%,9%,14%,14%
