,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,532","3,115","3,776","4,064","3,891","4,946","5,394","6,969","8,960","7,767","7,845","9,360"
Expenses +,"1,514","1,942","2,354","2,615","2,622","3,072","3,568","4,102","5,075","5,397","5,635","6,387"
Operating Profit,"1,018","1,173","1,423","1,450","1,269","1,874","1,826","2,867","3,885","2,370","2,210","2,973"
OPM %,40%,38%,38%,36%,33%,38%,34%,41%,43%,31%,28%,32%
Other Income +,68,38,93,72,107,154,186,57,112,344,335,348
Interest,3,3,5,3,2,5,7,2,2,2,4,3
Depreciation,92,136,118,123,142,169,186,256,312,343,378,402
Profit before tax,991,"1,072","1,393","1,395","1,231","1,855","1,819","2,666","3,684","2,369","2,163","2,916"
Tax %,22%,21%,19%,24%,29%,27%,24%,26%,20%,23%,26%,25%
Net Profit +,773,852,"1,126","1,060",877,"1,353","1,377","1,984","2,960","1,824","1,600","2,191"
EPS in Rs,29.13,32.07,42.41,39.95,33.04,50.96,51.85,74.75,111.52,68.71,60.27,82.53
Dividend Payout %,34%,31%,24%,25%,30%,31%,31%,27%,27%,44%,50%,36%
