,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"78,330","79,957","73,396","82,042","88,083","100,287","109,464","111,531","132,669","176,207","178,501","188,138"
Expenses +,"58,603","62,605","54,829","60,445","65,598","77,576","77,878","77,487","92,307","128,611","127,045","134,010"
Operating Profit,"19,727","17,352","18,568","21,598","22,485","22,710","31,586","34,044","40,362","47,596","51,456","54,128"
OPM %,25%,22%,25%,26%,26%,23%,29%,31%,30%,27%,29%,29%
Other Income +,"2,792","2,338","1,188","1,592","5,576","2,818","8,209","5,021","4,809","2,561","5,190","8,640"
Interest,"3,263","3,669","3,366","3,753","4,447","5,605","8,189","9,224","9,376","11,447","12,301","13,168"
Depreciation,"4,770","5,565","5,771","6,010","7,460","8,669","10,356","12,450","13,788","14,792","16,204","17,401"
Profit before tax,"14,486","10,456","10,618","13,426","16,154","11,255","21,250","17,390","22,007","23,917","28,142","32,198"
Tax %,21%,4%,-2%,20%,35%,-25%,44%,14%,23%,28%,24%,26%
Net Profit +,"11,403","9,992","10,781","10,714","10,502","14,034","11,902","14,969","16,960","17,121","21,332","23,953"
EPS in Rs,11.53,10.09,10.92,10.83,10.66,13.88,11.72,15.09,17.20,17.44,21.46,24.16
Dividend Payout %,42%,21%,26%,37%,40%,44%,27%,41%,41%,42%,36%,35%
