,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,898,903,933,967,979,950,994,"1,002","1,079","1,045","1,121","1,147","1,179"
Expenses +,778,799,836,852,871,849,893,902,970,941,"1,004","1,029","1,057"
Operating Profit,120,104,97,114,108,101,100,100,109,104,117,118,122
OPM %,13%,12%,10%,12%,11%,11%,10%,10%,10%,10%,10%,10%,10%
Other Income +,17,15,20,17,19,26,32,28,34,32,35,29,40
Interest,2,2,3,3,2,2,3,4,4,4,5,6,6
Depreciation,37,29,30,31,31,31,31,33,33,29,29,30,29
Profit before tax,97,88,85,98,94,94,97,91,106,103,118,111,127
Tax %,11%,11%,14%,11%,12%,11%,10%,12%,3%,11%,9%,8%,10%
Net Profit +,86,79,73,86,82,83,88,80,103,92,107,102,115
EPS in Rs,11.04,10.06,9.33,11.05,10.51,10.60,11.21,10.22,13.13,11.69,13.66,12.95,14.65
Raw PDF,,,,,,,,,,,,,
