,Jun 2014,Jun 2015,"Mar 2016
            
              9m",Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"3,961","4,254","2,960","4,462","4,969","5,612","5,512","6,355","7,773","9,202","10,134","10,446"
Expenses +,"3,373","3,588","2,498","3,700","4,182","4,827","4,676","5,071","6,531","8,002","8,587","9,015"
Operating Profit,589,666,462,762,787,785,835,"1,284","1,242","1,200","1,547","1,432"
OPM %,15%,16%,16%,17%,16%,14%,15%,20%,16%,13%,15%,14%
Other Income +,6,5,-4,8,38,89,32,163,224,183,173,178
Interest,79,60,32,34,21,26,20,22,5,8,16,12
Depreciation,102,139,105,154,167,184,206,213,230,263,298,359
Profit before tax,414,472,322,582,637,664,641,"1,212","1,232","1,111","1,405","1,239"
Tax %,34%,34%,37%,35%,32%,32%,27%,19%,21%,22%,24%,22%
Net Profit +,283,322,221,430,432,449,467,978,968,865,"1,070",961
EPS in Rs,22.31,25.38,17.43,33.88,33.99,35.32,36.80,77.00,76.24,68.12,84.21,75.64
Dividend Payout %,36%,35%,43%,44%,35%,37%,38%,29%,31%,38%,36%,45%
