,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,934","3,182","3,798","4,385","4,639","5,235","5,360","4,264","6,064","7,977","9,685","11,968"
Expenses +,"2,784","3,014","3,631","4,162","4,372","4,887","5,077","4,024","5,717","7,478","9,017","11,089"
Operating Profit,150,168,167,223,266,348,283,240,347,500,669,879
OPM %,5%,5%,4%,5%,6%,7%,5%,6%,6%,6%,7%,7%
Other Income +,18,-34,66,34,22,26,40,65,36,195,44,83
Interest,54,49,43,38,29,48,29,65,46,55,58,49
Depreciation,38,43,57,61,64,75,88,92,86,85,98,128
Profit before tax,76,43,132,159,196,251,206,148,251,555,557,785
Tax %,3%,-18%,21%,23%,25%,17%,32%,32%,33%,28%,26%,25%
Net Profit +,78,54,106,123,144,190,144,101,168,401,414,591
EPS in Rs,4.31,3.01,5.82,6.44,7.50,9.87,7.44,5.21,8.71,20.79,20.18,28.75
Dividend Payout %,46%,83%,56%,58%,67%,51%,67%,38%,57%,29%,35%,31%
