,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,494,538,566,531,554,586,645,617,590,559,643,548,559
Expenses +,427,451,474,456,438,434,462,445,425,438,465,465,449
Operating Profit,68,88,92,75,116,152,183,172,164,121,177,83,111
OPM %,14%,16%,16%,14%,21%,26%,28%,28%,28%,22%,28%,15%,20%
Other Income +,6,10,9,14,19,16,20,25,26,24,13,19,28
Interest,5,5,6,6,5,6,7,6,6,7,6,7,7
Depreciation,27,28,28,30,27,29,29,29,28,27,24,24,24
Profit before tax,42,65,67,54,104,133,167,162,157,110,160,71,108
Tax %,26%,25%,28%,23%,24%,25%,26%,24%,25%,25%,26%,26%,25%
Net Profit +,31,49,48,41,79,100,124,123,118,83,118,52,81
EPS in Rs,1.75,2.75,2.71,2.31,4.42,5.63,6.96,6.88,6.62,4.63,6.63,2.94,4.54
Raw PDF,,,,,,,,,,,,,
