,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,738","2,160","2,437","2,629","2,844","3,257","3,060","2,751","3,969","6,437","6,659","6,718"
Expenses +,"1,597","1,902","2,042","2,112","2,226","2,388","2,189","2,188","2,971","4,425","5,044","5,790"
Operating Profit,141,259,396,517,618,868,871,563,997,"2,012","1,616",928
OPM %,8%,12%,16%,20%,22%,27%,28%,20%,25%,31%,24%,14%
Other Income +,-5,3,7,35,22,50,104,111,124,139,227,108
Interest,129,205,195,188,143,124,129,129,132,222,208,178
Depreciation,127,116,118,121,122,128,149,174,193,282,310,332
Profit before tax,-119,-60,89,244,375,666,696,370,797,"1,646","1,325",527
Tax %,-37%,-69%,32%,28%,31%,36%,33%,36%,32%,27%,14%,22%
Net Profit +,-75,-18,56,172,261,425,468,237,544,"1,208","1,133",412
EPS in Rs,-5.47,-1.35,3.77,11.02,14.85,23.97,26.67,14.16,32.03,70.59,66.22,24.19
Dividend Payout %,0%,0%,13%,14%,17%,15%,15%,28%,17%,11%,13%,21%
