,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,255","1,304","1,379","1,322","1,343","1,479","1,494","1,437","1,439","1,558","1,633","1,614","1,605"
Expenses +,961,"1,034","1,036","1,010","1,063","1,124","1,113","1,049","1,109","1,167","1,194","1,178","1,176"
Operating Profit,294,270,343,312,280,355,381,388,330,391,439,436,429
OPM %,23%,21%,25%,24%,21%,24%,25%,27%,23%,25%,27%,27%,27%
Other Income +,21,27,34,44,50,56,56,56,81,67,60,72,76
Interest,5,4,4,4,4,3,3,3,3,3,2,2,4
Depreciation,17,17,17,18,17,17,18,18,18,18,18,18,18
Profit before tax,292,275,355,335,308,390,415,422,390,437,479,488,483
Tax %,28%,25%,25%,26%,25%,26%,25%,26%,26%,25%,25%,26%,24%
Net Profit +,211,206,266,247,231,290,313,311,287,328,359,361,367
EPS in Rs,99.49,96.77,124.95,116.16,108.91,136.59,147.27,146.35,135.09,154.36,168.76,169.78,172.73
Raw PDF,,,,,,,,,,,,,
