,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Revenue +,"11,986","13,319","20,402","22,324","25,131","29,831","33,474","32,820","33,741","42,151","56,237","65,669"
Interest,"6,312","6,966","11,123","11,458","12,467","15,187","15,901","12,967","11,554","14,411","22,567","28,275"
Expenses +,"7,053","9,718","11,541","14,832","16,805","19,758","22,578","29,812","30,699","33,485","47,052","48,891"
Financing Profit,"-1,379","-3,366","-2,263","-3,965","-4,141","-5,114","-5,005","-9,958","-8,512","-5,746","-13,382","-11,496"
Financing Margin %,-12%,-25%,-11%,-18%,-16%,-17%,-15%,-30%,-25%,-14%,-24%,-18%
Other Income +,"5,282","8,152","7,631","11,660","13,682","16,148","16,892","23,588","24,941","25,991","38,037","41,426"
Depreciation,208,237,345,362,383,458,465,461,480,599,792,941
Profit before tax,"3,695","4,550","5,024","7,332","9,158","10,576","11,422","13,168","15,948","19,646","23,863","28,989"
Tax %,32%,33%,32%,32%,33%,33%,25%,25%,25%,25%,25%,24%
Net Profit +,"2,527","3,105","3,524","5,019","6,258","7,204","8,593","9,990","12,089","14,925","18,213","22,126"
EPS in Rs,16.00,19.72,18.86,26.84,32.54,37.74,44.92,50.41,60.91,75.13,91.62,111.29
Dividend Payout %,2%,2%,3%,2%,2%,2%,0%,2%,2%,2%,2%,2%
