,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,497","3,090","4,154","3,924","5,335","7,152","7,723","8,500","13,063","16,166","18,119","20,690"
Expenses +,"2,332","2,908","3,872","3,590","4,964","6,759","7,246","7,821","12,118","15,143","16,926","19,491"
Operating Profit,165,182,282,334,371,393,478,679,946,"1,022","1,193","1,199"
OPM %,7%,6%,7%,9%,7%,5%,6%,8%,7%,6%,7%,6%
Other Income +,2,4,-15,5,8,12,22,36,40,46,74,96
Interest,61,66,70,72,81,113,107,66,44,67,113,133
Depreciation,16,22,34,51,53,64,96,103,109,138,176,201
Profit before tax,89,98,163,216,244,227,296,546,832,863,978,960
Tax %,34%,35%,38%,30%,35%,35%,14%,25%,26%,26%,25%,21%
Net Profit +,59,64,101,152,158,148,256,408,619,642,732,757
EPS in Rs,2.52,2.72,4.29,6.45,6.66,6.22,9.58,14.42,24.73,23.14,26.39,27.28
Dividend Payout %,20%,22%,23%,19%,21%,23%,0%,0%,14%,22%,21%,21%
