,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"3,193","3,397","3,519","3,721","3,804","3,986","4,115","4,179","4,256","4,393","4,263","4,973","5,241"
Expenses +,"2,436","2,566","2,698","2,864","2,871","2,966","3,027","3,089","3,127","3,228","3,175","3,772","3,983"
Operating Profit,757,831,822,857,934,"1,021","1,087","1,090","1,129","1,165","1,088","1,201","1,258"
OPM %,24%,24%,23%,23%,25%,26%,26%,26%,27%,27%,26%,24%,24%
Other Income +,172,82,193,256,379,344,375,368,437,457,468,452,628
Interest,3,5,7,8,8,10,13,12,15,12,13,13,16
Depreciation,119,116,127,135,148,142,143,148,165,169,180,179,201
Profit before tax,806,792,880,971,"1,156","1,212","1,307","1,298","1,385","1,441","1,362","1,461","1,669"
Tax %,24%,23%,25%,24%,22%,24%,22%,23%,23%,24%,19%,20%,18%
Net Profit +,610,611,657,741,906,918,"1,016",996,"1,070","1,101","1,100","1,170","1,362"
EPS in Rs,22.31,22.33,24.02,27.09,33.11,33.58,37.12,36.38,39.10,40.20,40.15,42.70,49.68
Raw PDF,,,,,,,,,,,,,
