,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,450,451,440,770,778,748,"1,289","2,292","3,002","4,272","5,239","4,973"
Expenses +,339,362,437,516,575,570,828,"1,366","1,708","2,579","3,256","3,188"
Operating Profit,112,90,3,254,203,178,460,926,"1,294","1,693","1,983","1,785"
OPM %,25%,20%,1%,33%,26%,24%,36%,40%,43%,40%,38%,36%
Other Income +,11,11,112,14,11,7,10,5,18,7,8,7
Interest,38,36,54,95,70,50,42,76,91,137,296,322
Depreciation,10,13,14,15,20,21,18,19,30,50,103,111
Profit before tax,74,52,48,159,124,114,410,836,"1,192","1,514","1,592","1,360"
Tax %,37%,39%,35%,32%,36%,28%,28%,25%,25%,26%,26%,
Net Profit +,47,32,31,108,80,82,297,625,890,"1,126","1,172",994
EPS in Rs,32.69,22.08,21.59,14.99,11.09,11.44,36.28,75.41,106.68,133.98,129.81,110.12
Dividend Payout %,13%,25%,31%,91%,24%,24%,35%,36%,37%,26%,37%,
