,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"218,855","229,409","216,737","212,834","207,559","231,886","225,086","236,533","231,784","231,535","239,986","261,388","243,632"
Expenses +,"181,157","198,438","181,728","174,478","169,466","190,918","184,430","194,017","193,019","192,477","196,197","217,556","200,727"
Operating Profit,"37,698","30,971","35,009","38,356","38,093","40,968","40,656","42,516","38,765","39,058","43,789","43,832","42,905"
OPM %,17%,14%,16%,18%,18%,18%,18%,18%,17%,17%,18%,17%,18%
Other Income +,"2,275","3,656","3,377","2,996","3,813","3,841","3,869","4,534","3,983","4,876","4,214","4,905","15,119"
Interest,"3,997","4,554","5,201","5,819","5,837","5,731","5,789","5,761","5,918","6,017","6,179","6,155","7,036"
Depreciation,"8,942","9,726","10,183","11,452","11,775","12,585","12,903","13,569","13,596","12,880","13,181","13,479","13,842"
Profit before tax,"27,034","20,347","23,002","24,081","24,294","26,493","25,833","27,720","23,234","25,037","28,643","29,103","37,146"
Tax %,28%,24%,23%,11%,25%,25%,25%,24%,25%,24%,24%,23%,17%
Net Profit +,"19,443","15,512","17,806","21,327","18,258","19,878","19,641","21,243","17,445","19,323","21,930","22,611","30,783"
EPS in Rs,13.27,10.09,11.67,14.26,11.83,12.85,12.76,14.01,11.19,12.24,13.70,14.34,19.95
Raw PDF,,,,,,,,,,,,,
