,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,418,434,453,480,486,500,531,586,560,591,642,682,708
Expenses +,354,361,372,403,376,398,417,453,450,462,506,543,583
Operating Profit,64,73,80,77,110,102,114,133,110,128,136,139,126
OPM %,15%,17%,18%,16%,23%,20%,21%,23%,20%,22%,21%,20%,18%
Other Income +,15,16,14,18,11,10,19,5,17,15,11,28,17
Interest,5,2,3,2,2,2,2,3,5,3,3,3,3
Depreciation,21,11,14,13,14,14,18,22,21,20,20,21,23
Profit before tax,53,76,78,79,104,97,114,113,100,120,125,143,116
Tax %,44%,21%,23%,21%,21%,27%,26%,26%,23%,26%,22%,27%,22%
Net Profit +,30,60,60,62,83,70,84,83,78,89,98,105,91
EPS in Rs,0.69,1.46,1.51,1.57,1.81,1.52,1.84,1.84,1.73,1.96,2.13,2.31,2.00
Raw PDF,,,,,,,,,,,,,
