,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,660,778,856,"1,060","1,038","1,133","1,876","3,023","2,123","2,269"
Expenses +,514,633,697,827,803,935,"1,513","2,194","1,592","1,757"
Operating Profit,146,145,158,234,235,198,363,829,531,512
OPM %,22%,19%,19%,22%,23%,17%,19%,27%,25%,23%
Other Income +,8,4,16,20,20,17,33,64,71,98
Interest,7,4,3,2,5,6,5,5,2,2
Depreciation,30,24,20,17,35,47,40,48,56,52
Profit before tax,117,121,151,234,216,162,352,841,544,555
Tax %,35%,36%,37%,40%,24%,26%,26%,26%,24%,26%
Net Profit +,76,78,95,136,165,120,260,618,412,410
EPS in Rs,157.74,161.22,31.09,44.43,53.74,39.24,84.67,201.60,134.34,133.89
Dividend Payout %,29%,9%,23%,16%,13%,28%,11%,4%,7%,8%
