,Mar 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Sales +,259,461,590,668,719,782,892,953,675,647,845,"1,043"
Expenses +,195,319,424,523,609,617,663,680,520,649,759,826
Operating Profit,65,142,166,144,110,164,229,273,155,-2,86,217
OPM %,25%,31%,28%,22%,15%,21%,26%,29%,23%,-0%,10%,21%
Other Income +,18,40,49,80,87,66,93,140,150,122,142,305
Interest,0,0,0,0,0,0,0,9,7,7,8,9
Depreciation,9,17,24,31,40,36,34,52,42,30,32,46
Profit before tax,73,165,190,193,156,194,288,352,255,83,188,467
Tax %,29%,27%,27%,26%,22%,26%,28%,23%,16%,15%,13%,22%
Net Profit +,52,121,139,143,121,143,207,272,214,71,163,363
EPS in Rs,,17.19,19.70,20.55,17.45,21.25,31.94,41.96,34.61,8.47,19.30,42.68
Dividend Payout %,0%,12%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%
