,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,518,651,713,745,751,840,818,703,852,"1,248","1,654","2,006"
Expenses +,410,526,553,577,594,687,660,553,692,"1,012","1,333","1,569"
Operating Profit,108,125,160,168,157,153,158,149,161,235,321,437
OPM %,21%,19%,22%,23%,21%,18%,19%,21%,19%,19%,19%,22%
Other Income +,8,30,25,33,8,19,24,6,227,43,62,81
Interest,3,4,2,2,2,3,5,3,3,3,5,3
Depreciation,14,16,15,15,19,20,20,20,20,20,21,26
Profit before tax,100,136,167,185,144,149,156,132,365,256,358,489
Tax %,33%,32%,32%,33%,33%,33%,22%,22%,26%,25%,25%,27%
Net Profit +,67,93,113,124,96,100,122,102,270,193,269,359
EPS in Rs,2.06,2.74,3.42,3.74,2.91,3.10,3.77,3.17,8.36,6.06,8.47,11.24
Dividend Payout %,36%,31%,32%,32%,34%,-0%,13%,38%,23%,-0%,43%,36%
