,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"85,054","91,929","101,122","109,312","119,683","135,220","145,452","135,979","156,521","183,341","221,113","255,734"
Expenses +,"70,968","76,245","85,637","92,691","99,572","112,354","120,899","112,519","132,207","156,175","192,355","221,399"
Operating Profit,"14,086","15,684","15,486","16,620","20,111","22,866","24,553","23,460","24,314","27,166","28,758","34,335"
OPM %,17%,17%,15%,15%,17%,17%,17%,17%,16%,15%,13%,13%
Other Income +,"1,337","1,422","1,219","1,466","1,465","2,701","3,015","8,111","2,364","2,891","4,953","3,289"
Interest,"6,494","7,266","6,899","6,829","7,714","9,339","11,021","11,750","9,235","9,445","9,512","9,925"
Depreciation,"1,446","2,623","1,787","2,370","2,223","1,923","2,462","2,904","2,948","3,502","3,682","4,121"
Profit before tax,"7,483","7,217","8,020","8,887","11,639","14,305","14,086","16,918","14,495","17,109","20,517","23,579"
Tax %,35%,31%,30%,23%,27%,28%,23%,24%,29%,26%,24%,25%
Net Profit +,"4,885","4,966","4,592","6,486","8,004","10,217","10,894","12,921","10,419","12,531","15,547","17,673"
EPS in Rs,35.41,34.17,30.64,43.17,52.59,63.48,68.02,82.47,61.70,74.50,95.00,109.35
Dividend Payout %,27%,32%,40%,22%,30%,28%,26%,44%,36%,32%,36%,31%
