,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,662","1,671","1,835","1,687","1,872","1,859","2,109","2,115","2,233","2,185","2,326","2,300","2,510"
Expenses +,"1,443","1,468","1,654","1,508","1,655","1,665","1,856","1,853","1,941","1,946","2,076","2,063","2,238"
Operating Profit,219,203,181,179,217,194,253,262,291,239,250,238,271
OPM %,13%,12%,10%,11%,12%,10%,12%,12%,13%,11%,11%,10%,11%
Other Income +,-56,8,11,1,5,14,1,1,4,5,5,1,2
Interest,19,7,6,7,9,8,7,6,6,5,7,7,6
Depreciation,67,28,30,32,35,34,36,38,39,40,44,47,48
Profit before tax,76,176,156,141,179,166,210,219,250,198,203,185,220
Tax %,39%,28%,25%,25%,22%,26%,26%,23%,24%,25%,25%,24%,25%
Net Profit +,46,126,116,106,138,123,156,168,191,149,152,140,165
EPS in Rs,0.07,0.19,0.18,0.16,0.21,0.19,0.24,0.25,0.29,0.22,0.23,0.21,0.25
Raw PDF,,,,,,,,,,,,,
