,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,073","1,276","1,449","1,580","1,916","2,462","2,237","2,516","3,948","6,918","6,070","7,540"
Expenses +,868,"1,022","1,144","1,256","1,505","1,960","1,803","2,001","3,199","5,582","4,588","5,514"
Operating Profit,205,254,304,324,412,502,434,515,748,"1,336","1,482","2,026"
OPM %,19%,20%,21%,20%,21%,20%,19%,20%,19%,19%,24%,27%
Other Income +,1,-2,13,13,12,9,41,21,19,-16,-68,10
Interest,20,18,20,27,33,50,55,45,50,90,109,116
Depreciation,22,31,33,39,51,59,85,94,109,128,143,182
Profit before tax,164,203,264,271,340,402,336,397,607,"1,102","1,161","1,739"
Tax %,21%,23%,33%,28%,31%,31%,17%,27%,25%,26%,25%,26%
Net Profit +,130,156,178,195,234,277,279,288,455,811,875,"1,288"
EPS in Rs,13.09,16.29,18.08,20.61,24.37,28.91,29.55,30.54,48.77,83.68,92.38,133.65
Dividend Payout %,0%,21%,25%,24%,25%,24%,20%,20%,15%,10%,9%,7%
