,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,888,998,"1,080","1,143","1,604","2,273","3,195","3,763","4,476"
Expenses +,377,410,550,524,787,"1,164","1,572","1,795","2,214"
Operating Profit,511,588,530,619,816,"1,109","1,623","1,968","2,262"
OPM %,58%,59%,49%,54%,51%,49%,51%,52%,51%
Other Income +,57,77,101,94,75,106,176,266,353
Interest,90,130,177,277,228,420,596,332,266
Depreciation,82,157,171,202,271,370,391,436,547
Profit before tax,396,377,284,234,393,426,811,"1,465","1,803"
Tax %,22%,26%,4%,16%,28%,22%,8%,21%,16%
Net Profit +,310,281,272,197,285,330,750,"1,161","1,521"
EPS in Rs,54.60,44.09,43.93,31.37,48.00,54.02,3.97,5.50,7.16
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,10%,11%
