,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"5,231","6,032","6,278","5,980","6,612","6,956","6,530","6,427","7,653","8,169","8,653","8,887"
Expenses +,"4,078","4,637","4,936","4,732","5,120","5,164","4,836","5,380","5,903","6,301","6,695","6,958"
Operating Profit,"1,153","1,395","1,342","1,248","1,492","1,792","1,694","1,047","1,750","1,868","1,959","1,929"
OPM %,22%,23%,21%,21%,23%,26%,26%,16%,23%,23%,23%,22%
Other Income +,358,354,347,309,343,364,-560,223,270,333,400,414
Interest,22,18,0,6,6,7,46,43,63,65,72,73
Depreciation,236,411,355,367,420,452,544,553,561,573,619,581
Profit before tax,"1,253","1,320","1,335","1,184","1,409","1,697",544,674,"1,396","1,563","1,669","1,689"
Tax %,25%,20%,28%,28%,25%,28%,25%,26%,25%,25%,24%,25%
Net Profit +,946,"1,056",967,854,"1,060","1,222",406,501,"1,054","1,174","1,262","1,292"
EPS in Rs,12.40,13.85,12.68,11.26,14.04,16.14,5.30,6.63,13.87,15.41,16.55,16.92
Dividend Payout %,25%,25%,27%,39%,39%,42%,54%,60%,52%,57%,56%,9%
