,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"18,580","23,021","28,497","35,756","14,641","25,931","54,446","68,904","80,803"
Expenses +,"16,362","19,991","28,646","31,666","14,626","25,356","47,915","52,548","62,745"
Operating Profit,"2,219","3,030",-149,"4,090",14,575,"6,531","16,356","18,058"
OPM %,12%,13%,-1%,11%,0%,2%,12%,24%,22%
Other Income +,789,947,"1,325","1,531","1,037",726,"1,435","2,327","3,295"
Interest,406,413,563,"1,902","2,170","2,386","3,168","4,208","5,080"
Depreciation,457,437,760,"3,974","4,699","5,069","5,103","6,426","8,680"
Profit before tax,"2,144","3,127",-147,-256,"-5,818","-6,154",-304,"8,049","7,593"
Tax %,23%,28%,-207%,-9%,-0%,0%,0%,-2%,4%
Net Profit +,"1,659","2,242",157,-234,"-5,806","-6,162",-306,"8,172","7,258"
EPS in Rs,45.90,58.33,4.09,-6.07,-150.85,-159.94,-7.93,211.73,187.84
Dividend Payout %,74%,10%,122%,0%,0%,0%,0%,0%,5%
