,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"70,608","74,120","77,861","78,164","85,244","99,586","96,080","90,026","109,715","138,252","142,324","143,369"
Expenses +,"52,842","56,777","59,147","65,716","75,956","74,579","74,500","71,398","84,995","94,020","94,352","96,306"
Operating Profit,"17,766","17,343","18,714","12,448","9,288","25,007","21,581","18,628","24,721","44,232","47,971","47,063"
OPM %,25%,23%,24%,16%,11%,25%,22%,21%,23%,32%,34%,33%
Other Income +,"7,169","6,570","5,939","5,316","4,975","5,834","6,444","3,742","3,866","6,560","8,396","9,932"
Interest,59,9,388,410,430,264,503,642,541,684,819,884
Depreciation,"1,996","2,320","2,826","2,907","3,063","3,450","3,451","3,718","4,429","6,833","6,735","9,145"
Profit before tax,"22,880","21,584","21,440","14,446","10,770","27,127","24,071","18,009","23,616","43,275","48,813","46,966"
Tax %,34%,36%,33%,36%,35%,36%,31%,29%,26%,27%,23%,25%
Net Profit +,"15,112","13,727","14,267","9,280","7,038","17,464","16,700","12,702","17,378","31,723","37,369","35,302"
EPS in Rs,23.92,21.73,22.59,14.95,11.34,28.34,27.12,20.61,28.17,51.54,60.69,57.37
Dividend Payout %,121%,95%,121%,133%,146%,46%,44%,78%,60%,47%,42%,46%
