,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"16,080","27,392","28,487","31,578","26,489","29,066","32,838","33,498","38,654","43,886","48,497","52,578"
Expenses +,"9,078","19,498","20,313","21,476","20,858","22,689","25,855","25,028","28,397","32,235","35,479","37,464"
Operating Profit,"7,003","7,894","8,174","10,102","5,631","6,377","6,983","8,470","10,258","11,650","13,018","15,114"
OPM %,44%,29%,29%,32%,21%,22%,21%,25%,27%,27%,27%,29%
Other Income +,"-1,968",283,-42,610,-135,-258,382,"-3,449","-3,505",459,865,"1,444"
Interest,44,579,523,400,518,555,303,141,127,172,238,231
Depreciation,409,"1,195","1,038","1,265","1,500","1,753","2,053","2,080","2,144","2,529","2,557","2,575"
Profit before tax,"4,581","6,403","6,571","9,048","3,479","3,810","5,010","2,799","4,481","9,408","11,088","13,752"
Tax %,15%,14%,14%,13%,26%,16%,16%,18%,24%,9%,13%,20%
Net Profit +,"3,879","5,476","5,658","7,846","2,542","3,208","4,172","2,272","3,389","8,513","9,610","10,965"
EPS in Rs,15.17,21.92,18.89,29.03,8.73,11.11,15.69,12.10,13.64,35.32,39.91,45.55
Dividend Payout %,10%,14%,5%,12%,23%,25%,25%,62%,73%,33%,34%,35%
