,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"4,283","4,844","5,361","5,617","6,078","7,078","7,294","7,293","9,921","11,799","12,383","13,140"
Expenses +,"3,611","4,073","4,188","4,355","4,737","5,707","5,718","5,606","8,065","9,813","9,675","10,130"
Operating Profit,672,771,"1,173","1,262","1,341","1,371","1,576","1,686","1,856","1,986","2,708","3,011"
OPM %,16%,16%,22%,22%,22%,19%,22%,23%,19%,17%,22%,23%
Other Income +,38,40,81,115,153,130,97,74,39,55,63,221
Interest,16,16,13,14,16,26,34,37,42,48,51,50
Depreciation,81,118,100,115,120,133,170,201,240,270,341,358
Profit before tax,612,678,"1,141","1,248","1,359","1,342","1,470","1,522","1,614","1,723","2,379","2,823"
Tax %,27%,25%,29%,31%,29%,31%,24%,26%,25%,25%,27%,26%
Net Profit +,450,514,807,863,966,928,"1,122","1,126","1,207","1,289","1,747","2,096"
EPS in Rs,8.77,10.00,15.66,16.77,18.95,18.21,21.97,22.26,23.76,25.05,34.00,40.82
Dividend Payout %,31%,29%,26%,28%,32%,36%,32%,38%,42%,44%,47%,49%
