,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,022","2,364","3,025","3,069","3,423","3,652","3,081","1,988","3,240","5,029","6,992","8,072"
Expenses +,"1,925","2,217","2,751","2,801","3,155","3,378","2,820","1,964","3,190","4,716","6,096","6,979"
Operating Profit,97,147,274,268,268,275,261,24,50,313,897,"1,093"
OPM %,5%,6%,9%,9%,8%,8%,8%,1%,2%,6%,13%,14%
Other Income +,60,66,71,86,69,82,3,2,52,268,37,452
Interest,9,7,5,6,7,15,28,28,41,68,62,26
Depreciation,85,81,92,113,129,151,195,174,191,241,267,280
Profit before tax,63,125,249,235,201,190,42,-176,-130,272,605,"1,238"
Tax %,-24%,19%,28%,23%,27%,25%,-20%,-30%,-30%,51%,36%,35%
Net Profit +,78,102,179,180,147,143,50,-124,-91,134,388,801
EPS in Rs,59.08,77.06,135.77,136.68,111.66,108.78,38.08,-93.83,-69.12,101.42,294.54,607.71
Dividend Payout %,5%,6%,7%,7%,9%,9%,26%,-5%,-14%,10%,7%,7%
